time_start_demog,time_diff_trials,sex,screenWidth,time_start_experiment,windowWidth,monitor,comments,timestamp,time_diff_demog,time_end_demog,time_diff_experiment,degree,workerID,time_end_trials,time_end_experiment,postId,browserVersion,participantCount,workerId,age,screenHeight,windowHeight,time_start_trials,browser
1452624786768,350469,Female,1920,1452624761369,1503,15,Leave feedback her,1452625344970,25035,1452624811803,418974,High School,AT87GQ24,1452625180339,1452625180343,ijbr9z8y,47,20,AT87GQ24,40-49,1080,858,1452624829870,Chrome
1452624757851,428457,Male,1920,1452624714960,1280,19,none,1452625281262,11428,1452624769279,538118,High School,DP10GH66,1452625253078,1452625253078,ijbr8zg5,47,10,DP10GH66,50-59,1032,647,1452624824621,Chrome
1452625455975,198813,Female,768,1452625441513,980,11,"Thanks, that was great and easy!",1452625699497,3971,1452625459946,222723,High School,YL95OK46,1452625664222,1452625664236,ijbrojth,8,123,YL95OK46,18-24,1004,1184,1452625465409,Safari
1452625217596,147399,Male,1600,1452625131061,1455,23 or larger,"Thanks, good luck with your research.",1452625401452,5220,1452625222816,244397,Bachelors,TQ90CN97,1452625375458,1452625375458,ijbrhwhq,47,86,TQ90CN97,40-49,1170,1008,1452625228059,Chrome
1452625200574,211095,Male,1440,1452625197720,1440,17,,1452625404858,4652,1452625205226,220830,High School,DT31LC67,1452625418539,1452625418550,ijbrjbx6,47,92,DT31LC67,25-29,860,799,1452625207444,Chrome
1452625765955,351661,Male,1366,1452625730209,1366,19,,1452626156441,9331,1452625775286,417289,Masters,MN27OT69,1452626147483,1452626147498,ijbruql5,47,153,MN27OT69,30-39,728,667,1452625795822,Chrome
1452628961111,431258,Male,1920,1452628944440,1920,17,Leave feedbacThank you for the chance to help with your researchk here,1452629436655,6327,1452628967438,462620,High School,FV46RL97,1452629407057,1452629407060,ijbtrmsm,47,188,FV46RL97,30-39,1040,979,1452628975799,Chrome
1452624686240,575662,Female,1366,1452624671529,1366,17,Thank you,1452625301475,7029,1452624693269,607533,High School,JW59CH35,1452625279045,1452625279062,ijbr81vd,47,4,JW59CH35,30-39,728,643,1452624703383,Chrome
1452624994063,346335,Male,1680,1452624969476,1680,19,No comments,1452625394723,10706,1452625004769,392270,High School,UO22OF11,1452625361737,1452625361746,ijbrefsi,47,66,UO22OF11,30-39,1010,925,1452625015402,Chrome
1452625445197,409412,Female,1440,1452625423098,1440,19,great study! thanks!,1452625879674,6513,1452625451710,445435,High School,YO30RO74,1452625868517,1452625868533,ijbro5ub,47,120,YO30RO74,30-39,860,799,1452625459105,Chrome
1452626104664,252752,Female,1360,1452626083276,1360,15,none thank you,1452626403235,7503,1452626112167,292494,High School,NX51CE58,1452626375755,1452626375770,ijbs2b88,Opera 33,170,NX51CE58,25-29,728,631,1452626123003,Opera 33
1452624839858,422871,Female,1366,1452624834480,1366,19,n/a,1452625281941,5947,1452624845805,436601,Masters,DP88GD78,1452625271073,1452625271081,ijbrbjmj,47,38,DP88GD78,30-39,728,643,1452624848202,Chrome
1452624733622,650715,Male,1920,1452624685086,1920,23 or larger,Everything worked well.,1452625452191,4880,1452624738502,706952,High School,WE94KN27,1452625392035,1452625392038,ijbr8cah,47,10,WE94KN27,25-29,1040,911,1452624741320,Chrome
1452624984248,218628,Female,1366,1452624962589,1366,15,great hit,1452625240944,9205,1452624993453,254180,High School,HV89LJ51,1452625216754,1452625216769,ijbre9aa,47,60,HV89LJ51,30-39,728,667,1452624998126,Chrome
1452627012432,291946,Male,1920,1452626964916,1920,23 or larger, ,1452627503599,145940,1452627158372,527336,High School,QD37CY50,1452627492247,1452627492252,ijbsl7kl,47,183,QD37CY50,25-29,1040,955,1452627200301,Chrome
1452624879814,226343,Male,1366,1452624843339,1366,15,,1452625153498,25924,1452624905738,306031,High School,NR75YP59,1452625149350,1452625149370,ijbrbq75,47,43,NR75YP59,30-39,728,643,1452624923007,Chrome
1452625737573,379379,Female,1280,1452625724288,1280,15,Thank you.,1452626155386,8463,1452625746036,409511,Masters,GV79RQ27,1452626133799,1452626133799,ijbrumah,47,153,GV79RQ27,30-39,984,923,1452625754420,Chrome
1452624815670,232715,Male,1920,1452624807772,924,23 or larger,thanks,1452625048806,6787,1452624822457,251181,High School,FV79GX72,1452625058942,1452625058953,ijbraz39,47,27,FV79GX72,25-29,1080,967,1452624826227,Chrome
1452625356635,714851,Male,1920,1452625322712,1920,23 or larger,.,1452626119162,7565,1452625364200,765899,High School,FZ98HK99,1452626088608,1452626088611,ijbrm0dy,47,113,FZ98HK99,30-39,1040,955,1452625373757,Chrome
1452626107840,452024,Male,1280,1452626086506,1280,17,,1452626560233,7631,1452626115471,489034,Bachelors,BG19UH52,1452626575540,1452626575540,ijbs2drm,47,170,BG19UH52,25-29,994,933,1452626123516,Chrome
1452626065237,323990,Male,1920,1452626040327,1920,23 or larger,Pretty fun.,1452626368183,8098,1452626073335,368944,High School,VA21AL76,1452626409266,1452626409271,ijbs1e4u,47,164,VA21AL76,30-39,1040,955,1452626085276,Chrome
1452624767346,371489,Male,1510,1452624748352,1373,15,,1452625151900,7184,1452624774530,403132,High School,FF27JQ19,1452625151480,1452625151484,ijbr9owf,47,15,FF27JQ19,40-49,798,658,1452624779991,Chrome
1452624796849,585137,Female,1366,1452624766158,852,13,thank you,1452625430499,37941,1452624834790,649008,Bachelors,HQ95DZ96,1452625415157,1452625415166,ijbra2y3,47,16,HQ95DZ96,30-39,738,639,1452624830020,Chrome
1452625615907,633541,Male,1920,1452625600931,1251,23 or larger,,1452626273737,16394,1452625632301,669088,Bachelors,TA30QR31,1452626270017,1452626270019,ijbrrz2v,47,141,TA30QR31,40-49,1040,920,1452625636476,Chrome
1452624771800,487038,Female,1440,1452624731278,1440,21,THANKS! VERY INTERESTING,1452625345917,13178,1452624784978,562095,Masters,QP61PD19,1452625293364,1452625293373,ijbr9c11,47,11,QP61PD19,40-49,860,799,1452624806326,Chrome
1452626258327,401261,Female,1366,1452626235084,1366,dontknow,Thank you.,1452626839853,4368,1452626262695,434587,Bachelors,BI93ES10,1452626669663,1452626669671,ijbs5jmj,47,175,BI93ES10,40-49,728,643,1452626268402,Chrome
1452624832849,615398,Female,1440,1452624804073,912,11,,1452625487945,9568,1452624842417,683100,Bachelors,RK42LC99,1452625487166,1452625487173,ijbraw6z,47,30,RK42LC99,30-39,806,711,1452624871768,Chrome
1452625554391,242585,Male,1366,1452625531982,1066,13,None,1452625801463,6185,1452625560576,274490,Bachelors,XR46PB54,1452625806467,1452625806472,ijbrqhrh,47,130,XR46PB54,25-29,738,694,1452625563882,Chrome
1452624826894,339544,Female,1600,1452624822536,1600,dontknow,,1452625191019,12106,1452624839000,359021,High School,TT99YS32,1452625181544,1452625181557,ijbrbaf7,47,38,TT99YS32,30-39,860,799,1452624842000,Chrome
1452625197564,453342,Male,1366,1452625177782,1366,15,NA,1452625698508,15335,1452625212899,504500,Bachelors,BT87IK84,1452625682277,1452625682282,ijbriwdo,47,92,BT87IK84,30-39,728,643,1452625228935,Chrome
1452625912064,611955,Female,1600,1452625890828,1600,21,LeaveThank You,1452626594431,30374,1452625942438,681759,Other,UN21VH61,1452626572578,1452626572587,ijbry6pc,49,162,UN21VH61,60+,860,775,1452625960623,Chrome
1452624804974,346283,Female,1366,1452624722447,1366,15,"Great Hit
",1452625322581,10917,1452624815891,450622,High School,VP54YC18,1452625173051,1452625173069,ijbr9501,47,11,VP54YC18,30-39,728,643,1452624826768,Chrome
1452626591996,322935,Female,1440,1452626578646,1440,21,none,1452626951961,7588,1452626599584,366782,Other,WA72WX35,1452626945425,1452626945428,ijbscxhl,47,178,WA72WX35,30-39,860,775,1452626622490,Chrome
1452625516089,421601,Female,1366,1452625492763,1366,dontknow,It was interesting,1452625984054,9764,1452625525853,458294,Bachelors,AZ42IH48,1452625951041,1452625951057,ijbrpnkv,47,129,AZ42IH48,30-39,768,681,1452625529440,Chrome
1452624744910,262953,Male,1440,1452624728753,1440,21,Good luck with your research!,1452625044046,7573,1452624752483,295594,High School,YD10AQ84,1452625024343,1452625024347,ijbr9a1k,47,11,YD10AQ84,25-29,860,775,1452624761390,Chrome
1452626189381,210948,Male,1920,1452626180614,1920,19,,1452626409201,5562,1452626194943,228085,Bachelors,CS74DV25,1452626408682,1452626408699,ijbs4ec3,47,173,CS74DV25,30-39,1040,979,1452626197734,Chrome
1452625801335,251975,Male,1920,1452625767741,942,17,Leave feedback here,1452626216217,8325,1452625809660,303851,Bachelors,DY31FP13,1452626071582,1452626071592,ijbrvjpa,47,156,DY31FP13,30-39,1080,967,1452625819607,Chrome
1452624751928,403127,Female,1680,1452624734448,848,21,Thanks!,1452625203381,7929,1452624759857,438297,Bachelors,UB43CI79,1452625172742,1452625172745,ijbr9egy,47,12,UB43CI79,40-49,965,893,1452624769615,Chrome
1452625483248,400646,Female,1366,1452625474384,1366,11,Thank you,1452626023416,9215,1452625492463,692964,High School,XV60HN43,1452626167344,1452626167348,ijbrp9ec,47,111,XV60HN43,25-29,728,667,1452625766698,Chrome
1452628630270,254796,Female,1296,1452628617800,1296,13,"I accidentally submitted a square as ""2%"" when I meant to say ""20%"". Hopefully it should be obvious as to which one. Sorry about the inconvenience.",1452628936368,11264,1452628641534,283875,High School,YH45DA73,1452628901670,1452628901675,ijbtkmw9,47,184,YH45DA73,18-24,768,707,1452628646874,Chrome
1452624689758,272070,Female,1366,1452624661421,1366,17,enjoyed,1452625002415,7632,1452624697390,315729,High School,HU64DD36,1452624977146,1452624977150,ijbr7u4l,47,4,HU64DD36,30-39,728,643,1452624705076,Chrome
1452625088255,343898,Female,1366,1452625080811,1366,17,none,1452625471748,6853,1452625095108,369426,High School,EH67CQ28,1452625450234,1452625450237,ijbrgtq2,47,79,EH67CQ28,30-39,728,643,1452625106336,Chrome
1452625844468,480828,Male,1366,1452625821863,1366,15,no comments,1452626370179,5320,1452625849788,511903,Bachelors,TX92AB61,1452626333754,1452626333766,ijbrwpd2,47,159,TX92AB61,50-59,768,705,1452625852926,Chrome
1452624816592,264256,Male,1920,1452624801688,1536,15,,1452625105321,6148,1452624822740,301602,Bachelors,WT85WH24,1452625103286,1452625103290,ijbrauce,47,30,WT85WH24,30-39,1030,756,1452624839030,Chrome
1452624795241,360961,Male,1920,1452624776674,1102,23 or larger,it was very difficult to judge accurately but interesting to do,1452625173852,9347,1452624804588,402769,High School,OP96SZ60,1452625179439,1452625179443,ijbrab2j,47,11,OP96SZ60,30-39,1040,784,1452624818478,Chrome
1452624876300,508940,Male,1920,1452624867090,1920,21,none,1452625445613,6775,1452624883075,527755,Masters,KF64KN52,1452625394838,1452625394845,ijbrc8sv,47,48,KF64KN52,40-49,1032,971,1452624885898,Chrome
1452624944313,189607,Male,1680,1452624907161,1680,23 or larger,,1452625161266,7507,1452624951820,252248,Bachelors,NJ34XL78,1452625159405,1452625159409,ijbrd3qw,47,52,NJ34XL78,30-39,1050,965,1452624969798,Chrome
1452624954920,398482,Female,1920,1452624912561,1242,23 or larger,,1452625400693,11727,1452624966647,466809,High School,HI19GJ19,1452625379358,1452625379370,ijbrd7ua,47,54,HI19GJ19,30-39,1080,965,1452624980876,Chrome
1452626897914,411538,Female,1366,1452626871247,1440,19,,1452627274174,23896,1452626921810,469298,Bachelors,OZ89WP27,1452627340538,1452627340545,ijbsj761,47,182,OZ89WP27,40-49,738,741,1452626929000,Chrome
1452625207384,459002,Male,1920,1452625100110,1920,23 or larger,Overall pretty fun to do and it was easy.,1452625728528,17997,1452625225381,592996,High School,TP22QG90,1452625693102,1452625693106,ijbrh8nu,47,81,TP22QG90,18-24,1040,979,1452625234100,Chrome
1452624734811,855673,Male,1920,1452624719042,1920,23 or larger,,1452625618957,8075,1452624742886,899666,Bachelors,HZ90WQ67,1452625618703,1452625618708,ijbr92ic,47,10,HZ90WQ67,40-49,1040,955,1452624763030,Chrome
1452625396768,300667,Female,1920,1452625113944,1920,23 or larger,Thank you for providing this survey on mturk.,1452625722855,9870,1452625406638,603767,Bachelors,ZF59RG68,1452625717696,1452625717711,ijbrhjbk,47,80,ZF59RG68,30-39,1040,935,1452625417029,Chrome
1452625641998,838408,Male,1024,1452625604959,980,11,Leave feedback here,1452626525125,462774,1452626104772,896100,Bachelors,CS84VT59,1452626501046,1452626501059,ijbrs26i,9,142,CS84VT59,40-49,748,643,1452625662638,Safari
1452624668016,350457,Male,1920,1452624657678,1536,17,Leave feedback here,1452625145416,9725,1452624677741,382848,Bachelors,GE78OL66,1452625040515,1452625040526,ijbr7r9w,47,3,GE78OL66,18-24,1032,758,1452624690058,Chrome
1452625593773,448318,Female,1920,1452625587049,1115,23 or larger,"interesting, thanks!",1452626109587,7806,1452625601579,472561,Bachelors,IH92IN80,1452626059607,1452626059610,ijbrrobd,47,141,IH92IN80,40-49,1080,641,1452625611289,Chrome
1452624839273,371566,Male,1366,1452624792535,1366,11,SH78GI74,1452625271114,6340,1452624845613,429861,Bachelors,SH78GI74,1452625222390,1452625222396,ijbranbu,47,29,SH78GI74,40-49,736,651,1452624850824,Chrome
1452624835148,319883,Male,1366,1452624816417,1366,17,"Fun study, thank you.",1452625188366,7654,1452624842802,357054,Bachelors,HK61MR39,1452625173466,1452625173471,ijbrb5nm,47,34,HK61MR39,30-39,728,643,1452624853583,Chrome
1452625077693,492080,Female,1280,1452625047469,1280,dontknow,I am no good at calculating percentages.,1452625688211,12312,1452625090005,606916,High School,OL45PR85,1452625654380,1452625654385,ijbrg40h,47,73,OL45PR85,30-39,984,923,1452625162300,Chrome
1452625099471,388706,Female,1440,1452625068764,1440,17,"Leave feedback here

N/A",1452625602680,27991,1452625127462,477597,High School,ZO40GJ32,1452625546357,1452625546361,ijbrgjyh,47,79,ZO40GJ32,50-59,860,775,1452625157651,Chrome
1452625158142,241915,Male,1920,1452625144940,1536,19,Thanks!,1452625499254,19817,1452625177959,334480,High School,CC16KS20,1452625479410,1452625479420,ijbri77t,47,86,CC16KS20,18-24,1032,758,1452625237495,Chrome
1452625385708,487394,Male,1366,1452625362138,1366,15,"All went well, thank you.",1452625934746,17901,1452625403609,540696,Other,VX98NQ86,1452625902824,1452625902834,ijbrmus0,47,115,VX98NQ86,50-59,768,681,1452625415430,Chrome
1452630014392,603648,Female,1440,1452630006277,1364,15,,1452630630118,7586,1452630021978,623163,Bachelors,PF50GM98,1452630629429,1452630629440,ijbuee6n,47,191,PF50GM98,30-39,873,778,1452630025781,Chrome
1452625260021,823434,Female,1920,1452625147908,932,23 or larger,I had fun! : D,1452626126143,7890,1452625267911,950243,High School,UV46YM72,1452626098143,1452626098151,ijbri9aj,47,87,UV46YM72,25-29,1040,837,1452625274709,Chrome
1452625880981,580106,Male,1920,1452625870385,1920,21,I enjoyed this study!,1452626558920,8113,1452625889094,601872,High School,QI30DX52,1452626472252,1452626472257,ijbrxqz9,47,161,QI30DX52,60+,1032,971,1452625892146,Chrome
1452624794672,1133454,Male,1600,1452624783742,1600,17,"No comments, thanks.",1452625952248,5528,1452624800200,1155257,Bachelors,VP39WW23,1452625938995,1452625938999,ijbrag91,47,25,VP39WW23,25-29,860,775,1452624805541,Chrome
1452626200211,289051,Female,1680,1452626169826,1680,17,n,1452626539972,9207,1452626209418,341386,Masters,NS25TJ80,1452626511209,1452626511212,ijbs461u,47,173,NS25TJ80,25-29,1050,987,1452626222158,Chrome
1452632147505,511995,Female,1366,1452632121543,1242,15,No comment.,1452625533049,57257,1452632204762,571330,High School,VB52UO59,1452632692856,1452632692873,ijbvnqcv,47,46,VB52UO59,40-49,728,606,1452632180861,Chrome
1452625324614,717559,Male,1366,1452625282385,1366,13,I don't have any additional comments.,1452626170461,6564,1452625331178,845020,Bachelors,TD47WJ21,1452626127397,1452626127405,ijbrl50t,47,110,TD47WJ21,25-29,728,667,1452625409838,Chrome
1452625148130,706918,Male,1366,1452625131576,1366,23 or larger,n/a,1452625888700,6709,1452625154839,736687,Bachelors,HI67NE26,1452625868253,1452625868263,ijbrhww8,47,84,HI67NE26,25-29,728,667,1452625161335,Chrome
1452625451693,528664,Female,1600,1452625443305,1600,21,Thank you very much!,1452626026807,4796,1452625456489,545685,Other,IV35NG63,1452625988983,1452625988990,ijbrolfy,47,123,IV35NG63,30-39,852,791,1452625460319,Chrome
1452625317978,591030,Female,1366,1452625293114,1078,17,"It was a little challenging since I'm not good at estimating charts. But it was fun and interesting, thanks!",1452625987209,32333,1452625350311,664434,High School,EO39DI85,1452625957537,1452625957548,ijbrldjk,47,105,EO39DI85,25-29,738,619,1452625366507,Chrome
1452624853369,682362,Female,1600,1452624790589,1594,17,Interesting ,1452625624377,17484,1452624870853,796433,High School,NE77IO36,1452625587016,1452625587022,ijbralr7,47,27,NE77IO36,50-59,860,747,1452624904654,Chrome
1452624912532,286697,Female,1920,1452624905447,1294,17,thanks,1452625232292,7876,1452624920408,313740,High School,BJ28HC29,1452625219183,1452625219187,ijbrd2fs,47,51,BJ28HC29,40-49,1200,1094,1452624932486,Chrome
1452625224715,284599,Male,1920,1452625210985,1920,23 or larger,Interesting study,1452625549467,13891,1452625238606,322684,High School,OO44FC29,1452625533662,1452625533669,ijbrjm6a,47,95,OO44FC29,25-29,1040,979,1452625249063,Chrome
1452626062987,420855,Female,1440,1452626051500,1440,17,Interesting. Thanks.,1452626554532,8329,1452626071316,443636,Masters,RR98MK81,1452626495127,1452626495136,ijbs1mp7,48,169,RR98MK81,50-59,860,799,1452626074272,Chrome
1452625323247,199883,Male,1600,1452625239097,1600,15,,1452625538827,7662,1452625330909,298422,Bachelors,UH45RE82,1452625537488,1452625537519,ijbrk7si,47,101,UH45RE82,25-29,860,799,1452625337605,Chrome
1452625215733,422930,Male,1366,1452625157252,1366,13,thank you!,1452625687019,13506,1452625229239,507625,High School, BB75FK84,1452625664865,1452625664877,ijbrigpk,47,89, BB75FK84,30-39,728,667,1452625241935,Chrome
1452625752498,383364,Male,1920,1452625743287,1920,19,,1452626143831,4662,1452625757160,399805,Bachelors,MM35SD65,1452626143079,1452626143092,ijbrv0v0,47,154,MM35SD65,30-39,1040,979,1452625759715,Chrome
1452626357488,291965,Female,1440,1452626336826,1440,19,Thanks!,1452626667082,20694,1452626378182,353082,Other,XF66KP17,1452626689902,1452626689908,ijbs7qu7,47,176,XF66KP17,40-49,870,809,1452626397937,Chrome
1452624879672,275380,Male,1366,1452624871516,1517,15,,1452625166718,3971,1452624883643,296399,High School,XE82WR50,1452625167876,1452625167915,ijbrcc87,44,45,XE82WR50,30-39,728,741,1452624892496,Chrome
1452624738877,576979,Male,1920,1452624713614,1920,23 or larger,none,1452625396570,9009,1452624747886,704486,Bachelors,WT67BG23,1452625418091,1452625418100,ijbr8yf2,47,4,WT67BG23,40-49,1080,993,1452624841112,Chrome
1452625692840,537443,Female,1366,1452625686115,1366,17,This was a lot hard than I thought it would be. Very interesting,1452626318116,7263,1452625700103,554865,High School,BL25RZ80,1452626240980,1452626240980,ijbrtstm,47,151,BL25RZ80,60+,738,653,1452625703537,Chrome
1452629524729,253552,Female,1920,1452629501704,1910,13,"This was interesting, thank you.",1452629847741,16188,1452629540917,317487,Bachelors,WK85KY31,1452629819184,1452629819191,ijbu3kvv,47,190,WK85KY31,30-39,1030,864,1452629565632,Chrome
1452626664880,443082,Female,1066,1452626625396,924,21,Interesting,1452627179008,16246,1452626681126,517932,Bachelors,FK86AF30,1452627143318,1452627143328,ijbsdx0i,47,180,FK86AF30,30-39,554,732,1452626700236,Chrome
1452624683276,237514,Male,1920,1452624677480,1920,23 or larger,thanks,1452624951130,9041,1452624692317,261043,Other,SE79QA74,1452624938514,1452624938523,ijbr86i6,47,4,SE79QA74,18-24,1085,990,1452624701000,Chrome
1452625413418,808273,Male,1920,1452625401936,1920,23 or larger,Hi!,1452626766782,7954,1452625421372,1017732,Bachelors,QV69HK91,1452626419656,1452626419668,ijbrnpaz,49,148,QV69HK91,30-39,1080,995,1452625611383,Chrome
1452624951805,320340,Female,1366,1452624924824,1366,15,Thank you,1452625344497,6928,1452624958733,398037,Bachelors,YC98FD83,1452625322851,1452625322861,ijbrdhd8,47,54,YC98FD83,30-39,728,667,1452625002511,Chrome
1452625289333,357529,Male,1831,1452625282598,1831,23 or larger,this was fun!; did not work in FF had to use chrome,1452625684510,11162,1452625300495,378071,Bachelors,GV15CS19,1452625660666,1452625660669,ijbrl5g7,47,105,GV15CS19,30-39,1080,1019,1452625303137,Chrome
1452626597196,149275,Female,1600,1452626576414,1600,23 or larger,Leave feedback herge,1452630367449,11902,1452626609098,188126,Bachelors,YB81SH15,1452626764532,1452626764540,ijbscu8y,49,178,YB81SH15,25-29,860,731,1452626615257,Chrome
1452625572910,182707,Male,1920,1452625264604,1920,21,This was very fun and somewhat challenging. Thank you!,1452625996766,13999,1452625586909,510677,High School,ZU65EC23,1452625775275,1452625775281,ijbrkrki,47,110,ZU65EC23,30-39,1160,1075,1452625592568,Chrome
1452625059263,458211,Female,1280,1452625041421,1280,dontknow,n/a,1452625565583,7093,1452625066356,485989,Bachelors,LB20FP13,1452625527408,1452625527410,ijbrfzc5,47,73,LB20FP13,40-49,984,899,1452625069197,Chrome
1452625265586,460150,Male,1366,1452625229526,1366,15,Thank you for the opportunity to assist you.,1452625782340,7853,1452625273439,517641,Bachelors,DA71AE14,1452625747158,1452625747167,ijbrk0gs,47,99,DA71AE14,40-49,728,667,1452625287008,Chrome
1452624827371,605236,Female,1920,1452624797381,1055,21,,1452625504041,7217,1452624834588,704812,Bachelors,ET18PD73,1452625502187,1452625502193,ijbrar1g,47,29,ET18PD73,30-39,1042,804,1452624896951,Chrome
1452625070665,408674,Male,1440,1452625061247,1440,21,Interesting way to think about %'s,1452625534070,7684,1452625078349,433777,Bachelors,IJ22ID44,1452625495022,1452625495024,ijbrgel7,45,76,IJ22ID44,25-29,860,775,1452625086348,Chrome
1452625409797,428406,Female,1440,1452625403948,1440,13,,1452625848572,174910,1452625584707,447135,Bachelors,PP25KO77,1452625851075,1452625851083,ijbrnr10,47,118,PP25KO77,40-49,860,755,1452625422669,Chrome
1452626043364,269649,Male,1436,1452626032822,1434,13,Leave feedback here.,1452626336916,5189,1452626048553,288218,Bachelors,SM89QY58,1452626321031,1452626321040,ijbs1842,47,167,SM89QY58,25-29,877,805,1452626051382,Chrome
1452624982780,280898,Female,1280,1452624959426,1280,13,This was enjoyable and different from normal studies. Best wishes with your research!,1452625326116,5493,1452624988273,320000,Bachelors,WZ58NX85,1452625279421,1452625279426,ijbre82t,47,60,WZ58NX85,30-39,620,619,1452624998523,Chrome
1452625248182,304261,Female,1600,1452625243891,1600,17,Leave feedback here,1452625602635,5451,1452625253633,337114,Bachelors,OC65YR29,1452625580992,1452625581005,ijbrkbce,44,101,OC65YR29,25-29,860,775,1452625276731,Chrome
1452624843157,233929,Female,1920,1452624829433,1920,21,no feedback,1452625121570,7316,1452624850473,270588,Bachelors,SK12PD40,1452625100016,1452625100021,ijbrbfrt,47,36,SK12PD40,25-29,1050,989,1452624866087,Chrome
1452625136076,471170,Male,1920,1452625106315,1264,21,I always like it when requesters have Worker ID checks to confirm participation eligibility.,1452625774723,29466,1452625165542,581684,Bachelors,KB77YT62,1452625687993,1452625687999,ijbrhddl,47,81,KB77YT62,30-39,1053,958,1452625216823,Chrome
1452624790336,1086641,Female,1280,1452624733417,1280,dontknow,It could have a bar we can click and drag to percentages instead of typing,1452625970680,7056,1452624797392,1181601,High School,HW32AN84,1452625915014,1452625915018,ijbr9dof,47,11,HW32AN84,18-24,660,595,1452624828373,Chrome
1452625709540,442469,Female,768,1452625703256,980,11,Leave feedback here,1452626179612,6390,1452625715930,459527,High School,UP31HO27,1452626162771,1452626162783,ijbru5zz,9,150,UP31HO27,30-39,1004,1184,1452625720302,Safari
1452626629835,497150,Male,1920,1452626620648,1920,21,intresting/ no issues,1452627187760,8296,1452626638131,521135,High School,OV48TG65,1452627141776,1452627141783,ijbsdtup,47,180,OV48TG65,30-39,1040,955,1452626644626,Chrome
1452624960159,327850,Female,1804,1452624944965,1804,21,Thanks!,1452625348105,8144,1452624968303,360022,Bachelors,HA72VQ32,1452625304977,1452625304987,ijbrdwtm,47,59,HA72VQ32,30-39,1080,995,1452624977127,Chrome
1452625270879,227762,Female,1600,1452625255343,1280,dontknow,,1452625511782,5491,1452625276370,255641,High School,HM64DN39,1452625510970,1452625510984,ijbrkkb2,47,102,HM64DN39,25-29,860,639,1452625283208,Chrome
1452625574798,257901,Male,1920,1452625550062,1920,23 or larger,Thanks for the study.,1452625898791,15647,1452625590445,309128,High School,WK24BF74,1452625859186,1452625859190,ijbrqvsp,47,133,WK24BF74,40-49,1040,955,1452625601285,Chrome
1452625536428,400520,Female,1024,1452625520257,1024,15,,1452625973326,5748,1452625542176,453557,Bachelors,WT66WY50,1452625973798,1452625973814,ijbrq8pn,47,131,WT66WY50,25-29,738,653,1452625573278,Chrome
1452624892981,224019,Male,1280,1452624885565,1280,13,interesting,1452625139538,254122,1452625147103,238132,High School,UJ88SP24,1452625123669,1452625123697,ijbrcn2z,47,46,UJ88SP24,25-29,664,622,1452624899650,Chrome
